Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: f1 (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2829
  P-value: 1.2868e-19
  Number of samples: 987

Common keys (987):
  327. Wikipedia_handpicked_5:1875_alteration (AskQE: 0.4571, Standard: 0.7810)
  328. Wikipedia_handpicked_5:1875_synonym (AskQE: 0.4211, Standard: 0.7500)
  329. Wikipedia_handpicked_5:1877_alteration (AskQE: 0.2167, Standard: 0.6860)
  330. Wikipedia_handpicked_5:1877_synonym (AskQE: 0.7500, Standard: 0.7530)
  331. Wikipedia_handpicked_5:1879_alteration (AskQE: 0.3000, Standard: 0.7680)
  332. Wikipedia_handpicked_5:1879_synonym (AskQE: 1.0000, Standard: 0.8150)
  333. Wikipedia_handpicked_5:1880_alteration (AskQE: 0.7009, Standard: 0.8350)
  334. Wikipedia_handpicked_5:1880_synonym (AskQE: 0.9846, Standard: 0.8350)
  335. Wikipedia_handpicked_5:1881_alteration (AskQE: 0.6579, Standard: 0.7050)
  336. Wikipedia_handpicked_5:1881_synonym (AskQE: 0.7850, Standard: 0.7300)
  337. Wikipedia_handpicked_5:1883_alteration (AskQE: 0.7838, Standard: 0.7700)
  338. Wikipedia_handpicked_5:1883_synonym (AskQE: 0.7920, Standard: 0.7770)
  339. Wikipedia_handpicked_5:1886_alteration (AskQE: 0.5625, Standard: 0.6590)
  340. Wikipedia_handpicked_5:1886_synonym (AskQE: 0.8040, Standard: 0.6840)
  341. Wikipedia_handpicked_5:1887_alteration (AskQE: 0.3030, Standard: 0.6580)
  342. Wikipedia_handpicked_5:1887_synonym (AskQE: 0.5833, Standard: 0.6430)
  343. Wikipedia_handpicked_5:1889_alteration (AskQE: 0.0000, Standard: 0.7300)
  344. Wikipedia_handpicked_5:1889_synonym (AskQE: 0.6111, Standard: 0.8640)
  345. Wikipedia_handpicked_5:1890_alteration (AskQE: 0.5781, Standard: 0.6790)
