Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: chrf (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2772
  P-value: 7.1113e-19
  Number of samples: 987

Common keys (987):
  126. PubMed_10:905_synonym (AskQE: 91.1575, Standard: 0.6210)
  127. PubMed_10:906_alteration (AskQE: 45.4200, Standard: 0.6410)
  128. PubMed_10:906_synonym (AskQE: 44.1214, Standard: 0.6290)
  129. PubMed_10:907_alteration (AskQE: 35.7631, Standard: 0.8200)
  130. PubMed_10:907_synonym (AskQE: 100.0000, Standard: 0.8250)
  131. PubMed_10:908_alteration (AskQE: 37.6488, Standard: 0.6880)
  132. PubMed_10:908_synonym (AskQE: 42.9877, Standard: 0.7800)
  133. PubMed_10:909_alteration (AskQE: 53.7795, Standard: 0.6550)
  134. PubMed_10:909_synonym (AskQE: 92.5709, Standard: 0.7860)
  135. PubMed_10:911_alteration (AskQE: 68.9630, Standard: 0.6120)
  136. PubMed_10:911_synonym (AskQE: 32.7209, Standard: 0.6600)
  137. PubMed_10:913_alteration (AskQE: 75.2317, Standard: 0.7740)
  138. PubMed_10:913_synonym (AskQE: 75.6438, Standard: 0.7770)
  139. PubMed_10:915_alteration (AskQE: 47.7775, Standard: 0.6670)
  140. PubMed_10:915_synonym (AskQE: 74.6715, Standard: 0.6650)
  141. PubMed_10:918_alteration (AskQE: 62.8902, Standard: 0.5680)
  142. PubMed_10:918_synonym (AskQE: 75.6036, Standard: 0.6620)
  143. PubMed_10:919_alteration (AskQE: 70.8696, Standard: 0.7400)
  144. PubMed_10:919_synonym (AskQE: 77.9677, Standard: 0.7480)
  145. PubMed_10:922_alteration (AskQE: 51.4002, Standard: 0.7720)
  146. PubMed_10:922_synonym (AskQE: 95.1576, Standard: 0.7670)
  147. PubMed_10:923_alteration (AskQE: 3.3149, Standard: 0.6220)
  148. PubMed_10:923_synonym (AskQE: 100.0000, Standard: 0.7610)
  149. PubMed_10:926_alteration (AskQE: 16.7928, Standard: 0.7630)
  150. PubMed_10:926_synonym (AskQE: 37.7968, Standard: 0.8470)
  151. PubMed_10:927_alteration (AskQE: 37.3480, Standard: 0.6490)
  152. PubMed_10:927_synonym (AskQE: 100.0000, Standard: 0.7880)
  153. PubMed_10:928_alteration (AskQE: 10.4167, Standard: 0.5970)
  154. PubMed_10:928_synonym (AskQE: 100.0000, Standard: 0.6390)
  155. PubMed_10:930_alteration (AskQE: 51.3228, Standard: 0.6440)
  156. PubMed_10:930_synonym (AskQE: 61.9946, Standard: 0.7720)
  157. PubMed_10:934_alteration (AskQE: 31.4860, Standard: 0.6830)
  158. PubMed_10:934_synonym (AskQE: 38.0877, Standard: 0.7390)
  159. PubMed_10:937_alteration (AskQE: 54.0146, Standard: 0.7870)
  160. PubMed_10:937_synonym (AskQE: 79.8639, Standard: 0.7770)
  161. PubMed_10:938_alteration (AskQE: 71.2372, Standard: 0.6950)
  162. PubMed_10:938_synonym (AskQE: 47.3786, Standard: 0.7660)
  163. PubMed_10:941_alteration (AskQE: 85.1909, Standard: 0.6810)
  164. PubMed_10:941_synonym (AskQE: 78.4740, Standard: 0.6910)
  165. PubMed_10:943_alteration (AskQE: 16.9986, Standard: 0.6090)
  166. PubMed_10:943_synonym (AskQE: 36.1237, Standard: 0.6070)
  167. PubMed_10:951_alteration (AskQE: 72.9991, Standard: 0.7040)
  168. PubMed_10:951_synonym (AskQE: 75.2569, Standard: 0.7460)
  169. PubMed_10:954_alteration (AskQE: 72.3158, Standard: 0.6960)
  170. PubMed_10:954_synonym (AskQE: 46.5361, Standard: 0.7770)
  171. PubMed_10:955_alteration (AskQE: 54.2221, Standard: 0.6400)
  172. PubMed_10:955_synonym (AskQE: 53.8669, Standard: 0.6470)
  173. PubMed_10:958_alteration (AskQE: 42.3452, Standard: 0.6850)
  174. PubMed_10:958_synonym (AskQE: 51.8336, Standard: 0.6990)
  175. PubMed_10:961_alteration (AskQE: 95.8914, Standard: 0.6430)
  176. PubMed_10:961_synonym (AskQE: 97.6776, Standard: 0.6410)
  177. PubMed_10:963_alteration (AskQE: 79.6552, Standard: 0.6930)
  178. PubMed_10:963_synonym (AskQE: 79.4690, Standard: 0.6990)
  179. PubMed_10:964_alteration (AskQE: 46.1310, Standard: 0.7480)
  180. PubMed_10:964_synonym (AskQE: 53.8346, Standard: 0.7400)
  181. PubMed_10:965_alteration (AskQE: 69.8049, Standard: 0.7300)
  182. PubMed_10:965_synonym (AskQE: 64.1425, Standard: 0.7590)
  183. PubMed_10:967_alteration (AskQE: 47.3447, Standard: 0.7290)
  184. PubMed_10:967_synonym (AskQE: 52.8858, Standard: 0.7220)
  185. PubMed_10:968_alteration (AskQE: 68.5254, Standard: 0.6790)
  186. PubMed_10:968_synonym (AskQE: 24.2091, Standard: 0.7050)
  187. PubMed_10:971_alteration (AskQE: 79.8999, Standard: 0.6610)
  188. PubMed_10:971_synonym (AskQE: 83.3799, Standard: 0.6230)
  189. PubMed_10:974_alteration (AskQE: 59.1093, Standard: 0.5850)
  190. PubMed_10:974_synonym (AskQE: 67.8503, Standard: 0.6130)
  191. PubMed_10:979_alteration (AskQE: 61.9714, Standard: 0.6740)
  192. PubMed_10:979_synonym (AskQE: 69.2057, Standard: 0.6990)
  193. PubMed_10:980_alteration (AskQE: 55.8433, Standard: 0.6610)
  194. PubMed_10:980_synonym (AskQE: 80.3315, Standard: 0.7000)
  195. PubMed_10:984_alteration (AskQE: 70.7466, Standard: 0.7380)
  196. PubMed_10:984_synonym (AskQE: 50.1131, Standard: 0.7140)
  197. PubMed_10:985_alteration (AskQE: 61.7987, Standard: 0.6960)
  198. PubMed_10:985_synonym (AskQE: 45.7315, Standard: 0.7550)
  199. PubMed_10:986_alteration (AskQE: 5.2183, Standard: 0.8090)
  200. PubMed_10:986_synonym (AskQE: 72.6879, Standard: 0.8010)
  201. PubMed_10:987_alteration (AskQE: 56.1732, Standard: 0.5790)
  202. PubMed_10:987_synonym (AskQE: 29.0416, Standard: 0.5340)
  203. PubMed_10:988_alteration (AskQE: 81.6494, Standard: 0.7650)
  204. PubMed_10:988_synonym (AskQE: 95.9659, Standard: 0.8420)
  205. PubMed_10:992_alteration (AskQE: 81.6610, Standard: 0.7070)
  206. PubMed_10:992_synonym (AskQE: 95.0661, Standard: 0.7440)
  207. PubMed_10:994_alteration (AskQE: 66.8842, Standard: 0.6900)
  208. PubMed_10:994_synonym (AskQE: 79.7090, Standard: 0.7050)
  209. PubMed_10:995_alteration (AskQE: 72.4641, Standard: 0.6980)
  210. PubMed_10:995_synonym (AskQE: 68.4113, Standard: 0.7010)
  211. PubMed_10:996_alteration (AskQE: 45.8680, Standard: 0.7510)
  212. PubMed_10:996_synonym (AskQE: 41.2549, Standard: 0.7960)
  213. PubMed_10:999_alteration (AskQE: 38.3372, Standard: 0.6720)
  214. PubMed_10:999_synonym (AskQE: 29.6908, Standard: 0.7710)
  215. PubMed_9:792_alteration (AskQE: 66.2144, Standard: 0.7980)
  216. PubMed_9:792_synonym (AskQE: 91.2647, Standard: 0.8080)
  217. PubMed_9:794_alteration (AskQE: 51.6643, Standard: 0.7700)
  218. PubMed_9:794_synonym (AskQE: 79.2036, Standard: 0.8050)
  219. PubMed_9:795_alteration (AskQE: 68.0804, Standard: 0.7330)
  220. PubMed_9:795_synonym (AskQE: 68.9247, Standard: 0.7900)
  221. PubMed_9:797_alteration (AskQE: 11.1111, Standard: 0.8510)
  222. PubMed_9:797_synonym (AskQE: 100.0000, Standard: 0.8610)
  223. PubMed_9:799_alteration (AskQE: 56.1804, Standard: 0.7910)
  224. PubMed_9:799_synonym (AskQE: 53.0100, Standard: 0.8140)
  225. PubMed_9:802_alteration (AskQE: 2.2726, Standard: 0.8040)
  226. PubMed_9:802_synonym (AskQE: 54.9191, Standard: 0.8190)
  227. PubMed_9:803_alteration (AskQE: 40.8568, Standard: 0.6390)
  228. PubMed_9:803_synonym (AskQE: 49.4395, Standard: 0.6510)
  229. PubMed_9:804_alteration (AskQE: 80.8262, Standard: 0.7240)
  230. PubMed_9:804_synonym (AskQE: 72.3383, Standard: 0.7310)
  231. PubMed_9:805_alteration (AskQE: 53.0485, Standard: 0.7000)
  232. PubMed_9:805_synonym (AskQE: 46.8508, Standard: 0.7710)
  233. PubMed_9:806_alteration (AskQE: 75.9362, Standard: 0.6760)
  234. PubMed_9:806_synonym (AskQE: 69.8637, Standard: 0.6730)
  235. PubMed_9:807_alteration (AskQE: 41.2629, Standard: 0.7260)
  236. PubMed_9:807_synonym (AskQE: 47.3344, Standard: 0.7280)
  237. PubMed_9:808_alteration (AskQE: 77.1164, Standard: 0.8210)
  238. PubMed_9:808_synonym (AskQE: 79.3187, Standard: 0.8460)
  239. PubMed_9:810_alteration (AskQE: 43.0613, Standard: 0.6750)
  240. PubMed_9:810_synonym (AskQE: 63.3592, Standard: 0.7470)
  241. PubMed_9:814_alteration (AskQE: 37.1538, Standard: 0.8350)
  242. PubMed_9:814_synonym (AskQE: 100.0000, Standard: 0.8830)
  243. PubMed_9:817_alteration (AskQE: 33.5756, Standard: 0.7820)
  244. PubMed_9:817_synonym (AskQE: 95.0990, Standard: 0.8110)
  245. PubMed_9:818_alteration (AskQE: 92.7257, Standard: 0.7470)
  246. PubMed_9:818_synonym (AskQE: 97.9793, Standard: 0.7600)
  247. PubMed_9:819_alteration (AskQE: 37.6115, Standard: 0.6350)
  248. PubMed_9:819_synonym (AskQE: 77.3909, Standard: 0.6910)
  249. PubMed_9:820_alteration (AskQE: 56.7456, Standard: 0.5320)
  250. PubMed_9:820_synonym (AskQE: 40.3575, Standard: 0.7580)
  251. PubMed_9:821_alteration (AskQE: 16.1748, Standard: 0.6990)
  252. PubMed_9:821_synonym (AskQE: 100.0000, Standard: 0.7780)
  253. PubMed_9:822_alteration (AskQE: 56.0616, Standard: 0.7040)
  254. PubMed_9:822_synonym (AskQE: 92.0078, Standard: 0.7230)
  255. PubMed_9:823_alteration (AskQE: 69.1969, Standard: 0.6950)
  256. PubMed_9:823_synonym (AskQE: 69.6678, Standard: 0.7610)
  257. PubMed_9:825_alteration (AskQE: 78.7069, Standard: 0.7190)
  258. PubMed_9:825_synonym (AskQE: 68.9287, Standard: 0.7470)
  259. PubMed_9:826_alteration (AskQE: 74.7821, Standard: 0.7320)
  260. PubMed_9:826_synonym (AskQE: 85.0257, Standard: 0.7610)
  261. PubMed_9:829_alteration (AskQE: 75.5658, Standard: 0.7130)
  262. PubMed_9:829_synonym (AskQE: 64.6656, Standard: 0.7460)
  263. PubMed_9:830_alteration (AskQE: 2.8850, Standard: 0.6910)
  264. PubMed_9:830_synonym (AskQE: 76.9042, Standard: 0.8380)
  265. PubMed_9:831_alteration (AskQE: 30.8829, Standard: 0.6740)
  266. PubMed_9:831_synonym (AskQE: 32.7012, Standard: 0.7190)
  267. PubMed_9:832_alteration (AskQE: 54.2614, Standard: 0.7300)
  268. PubMed_9:832_synonym (AskQE: 100.0000, Standard: 0.8490)
  269. PubMed_9:836_alteration (AskQE: 18.6515, Standard: 0.7820)
  270. PubMed_9:836_synonym (AskQE: 68.8285, Standard: 0.8070)
  271. PubMed_9:837_alteration (AskQE: 42.2584, Standard: 0.6630)
  272. PubMed_9:837_synonym (AskQE: 44.9706, Standard: 0.6980)
  273. PubMed_9:838_alteration (AskQE: 72.2552, Standard: 0.6240)
  274. PubMed_9:838_synonym (AskQE: 69.9372, Standard: 0.6490)
  275. PubMed_9:839_alteration (AskQE: 59.6940, Standard: 0.7940)
  276. PubMed_9:839_synonym (AskQE: 87.1421, Standard: 0.8530)
  277. PubMed_9:840_alteration (AskQE: 44.0154, Standard: 0.5960)
  278. PubMed_9:840_synonym (AskQE: 77.2809, Standard: 0.6720)
  279. PubMed_9:841_alteration (AskQE: 58.0355, Standard: 0.6870)
  280. PubMed_9:841_synonym (AskQE: 52.7768, Standard: 0.7540)
  281. PubMed_9:844_alteration (AskQE: 67.6539, Standard: 0.7290)
  282. PubMed_9:844_synonym (AskQE: 76.1898, Standard: 0.7240)
  283. PubMed_9:845_alteration (AskQE: 27.8507, Standard: 0.5940)
  284. PubMed_9:845_synonym (AskQE: 86.0298, Standard: 0.6650)
  285. PubMed_9:846_alteration (AskQE: 43.0604, Standard: 0.7180)
  286. PubMed_9:846_synonym (AskQE: 38.0341, Standard: 0.7540)
  287. PubMed_9:847_alteration (AskQE: 47.6590, Standard: 0.6500)
  288. PubMed_9:847_synonym (AskQE: 63.5193, Standard: 0.7470)
  289. PubMed_9:849_synonym (AskQE: 100.0000, Standard: 0.9190)
  290. PubMed_9:850_alteration (AskQE: 78.2773, Standard: 0.7330)
  291. PubMed_9:850_synonym (AskQE: 68.2163, Standard: 0.7870)
  292. PubMed_9:853_synonym (AskQE: 46.5046, Standard: 0.8310)
  293. PubMed_9:854_alteration (AskQE: 79.4306, Standard: 0.5490)
  294. PubMed_9:854_synonym (AskQE: 79.1540, Standard: 0.7250)
  295. Wikinews_2:1100_alteration (AskQE: 64.1304, Standard: 0.7230)
  296. Wikinews_2:1100_synonym (AskQE: 89.1297, Standard: 0.7620)
  297. Wikinews_2:1104_alteration (AskQE: 53.7453, Standard: 0.7240)
  298. Wikinews_2:1104_synonym (AskQE: 79.6941, Standard: 0.7130)
  299. Wikinews_2:1105_alteration (AskQE: 100.0000, Standard: 0.8040)
  300. Wikinews_2:1105_synonym (AskQE: 100.0000, Standard: 0.7260)
  301. Wikinews_5:1148_alteration (AskQE: 45.8014, Standard: 0.7850)
  302. Wikinews_5:1148_synonym (AskQE: 60.5742, Standard: 0.7980)
  303. Wikinews_5:1151_alteration (AskQE: 74.9085, Standard: 0.7740)
  304. Wikinews_5:1151_synonym (AskQE: 90.8725, Standard: 0.8190)
  305. Wikipedia_handpicked_5:1860_alteration (AskQE: 76.7285, Standard: 0.7960)
  306. Wikipedia_handpicked_5:1860_synonym (AskQE: 28.9951, Standard: 0.8610)
  307. Wikipedia_handpicked_5:1861_alteration (AskQE: 92.3277, Standard: 0.6630)
  308. Wikipedia_handpicked_5:1861_synonym (AskQE: 78.7152, Standard: 0.8070)
  309. Wikipedia_handpicked_5:1864_alteration (AskQE: 54.9717, Standard: 0.7260)
  310. Wikipedia_handpicked_5:1864_synonym (AskQE: 82.5130, Standard: 0.7640)
