Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: bleu (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2064
  P-value: 3.2979e-25
  Number of samples: 2473

Common keys (2473):
  144. PubMed_10:1029_spelling (AskQE: 21.6711, Standard: 0.7450)
  145. PubMed_10:1029_synonym (AskQE: 21.6711, Standard: 0.8310)
  146. PubMed_10:1030_alteration (AskQE: 16.8107, Standard: 0.7090)
  147. PubMed_10:1030_expansion_impact (AskQE: 35.7781, Standard: 0.7370)
  148. PubMed_10:1030_expansion_noimpact (AskQE: 32.0517, Standard: 0.7510)
  149. PubMed_10:1030_spelling (AskQE: 45.3103, Standard: 0.7440)
  150. PubMed_10:1030_synonym (AskQE: 30.0883, Standard: 0.7350)
  151. PubMed_10:1033_alteration (AskQE: 18.9831, Standard: 0.6820)
  152. PubMed_10:1033_expansion_impact (AskQE: 18.4515, Standard: 0.7870)
  153. PubMed_10:1033_expansion_noimpact (AskQE: 12.9474, Standard: 0.8070)
  154. PubMed_10:1033_spelling (AskQE: 23.1042, Standard: 0.7730)
  155. PubMed_10:1033_synonym (AskQE: 23.1042, Standard: 0.8110)
  156. PubMed_10:1042_alteration (AskQE: 18.9862, Standard: 0.6910)
  157. PubMed_10:1042_expansion_impact (AskQE: 15.9652, Standard: 0.7240)
  158. PubMed_10:1042_expansion_noimpact (AskQE: 24.2026, Standard: 0.7360)
  159. PubMed_10:1042_spelling (AskQE: 41.8380, Standard: 0.7190)
  160. PubMed_10:1042_synonym (AskQE: 20.5011, Standard: 0.7370)
  161. PubMed_10:1043_alteration (AskQE: 14.2429, Standard: 0.6900)
  162. PubMed_10:1043_expansion_impact (AskQE: 15.6197, Standard: 0.7740)
  163. PubMed_10:1043_expansion_noimpact (AskQE: 32.4668, Standard: 0.8140)
  164. PubMed_10:1043_spelling (AskQE: 42.7287, Standard: 0.7440)
  165. PubMed_10:1043_synonym (AskQE: 42.7287, Standard: 0.8010)
  166. PubMed_10:1046_alteration (AskQE: 1.6233, Standard: 0.7290)
  167. PubMed_10:1046_expansion_impact (AskQE: 5.3555, Standard: 0.7720)
  168. PubMed_10:1046_expansion_noimpact (AskQE: 6.2824, Standard: 0.7510)
  169. PubMed_10:1046_spelling (AskQE: 4.9650, Standard: 0.7190)
  170. PubMed_10:1046_synonym (AskQE: 5.8605, Standard: 0.7350)
  171. PubMed_10:1047_alteration (AskQE: 0.0000, Standard: 0.8070)
  172. PubMed_10:1047_expansion_impact (AskQE: 50.0000, Standard: 0.8260)
  173. PubMed_10:1047_expansion_noimpact (AskQE: 50.0000, Standard: 0.8110)
  174. PubMed_10:1047_spelling (AskQE: 0.0000, Standard: 0.5260)
  175. PubMed_10:1047_synonym (AskQE: 0.0000, Standard: 0.5440)
  176. PubMed_10:1049_alteration (AskQE: 26.0996, Standard: 0.6780)
  177. PubMed_10:1049_expansion_impact (AskQE: 39.1017, Standard: 0.7230)
  178. PubMed_10:1049_expansion_noimpact (AskQE: 47.6233, Standard: 0.7480)
  179. PubMed_10:1049_spelling (AskQE: 83.2421, Standard: 0.7470)
  180. PubMed_10:1049_synonym (AskQE: 39.9140, Standard: 0.7530)
  181. PubMed_10:1051_alteration (AskQE: 26.3960, Standard: 0.6520)
  182. PubMed_10:1051_expansion_impact (AskQE: 10.8505, Standard: 0.6920)
  183. PubMed_10:1051_expansion_noimpact (AskQE: 29.0730, Standard: 0.7020)
  184. PubMed_10:1051_spelling (AskQE: 29.4825, Standard: 0.6670)
  185. PubMed_10:1051_synonym (AskQE: 43.3347, Standard: 0.7510)
  186. PubMed_10:1052_alteration (AskQE: 39.3415, Standard: 0.7830)
  187. PubMed_10:1052_expansion_impact (AskQE: 58.8280, Standard: 0.7870)
  188. PubMed_10:1052_expansion_noimpact (AskQE: 9.4952, Standard: 0.7810)
  189. PubMed_10:1052_spelling (AskQE: 69.1627, Standard: 0.7840)
  190. PubMed_10:1052_synonym (AskQE: 59.1587, Standard: 0.8020)
  191. PubMed_10:1053_alteration (AskQE: 15.1199, Standard: 0.6530)
  192. PubMed_10:1053_expansion_impact (AskQE: 43.3784, Standard: 0.7280)
  193. PubMed_10:1053_expansion_noimpact (AskQE: 52.2168, Standard: 0.7430)
  194. PubMed_10:1053_spelling (AskQE: 52.5882, Standard: 0.7400)
  195. PubMed_10:1053_synonym (AskQE: 33.2563, Standard: 0.7540)
  196. PubMed_10:856_alteration (AskQE: 57.5180, Standard: 0.7410)
  197. PubMed_10:856_expansion_impact (AskQE: 68.9592, Standard: 0.7760)
  198. PubMed_10:856_expansion_noimpact (AskQE: 74.9332, Standard: 0.7760)
  199. PubMed_10:856_spelling (AskQE: 85.4493, Standard: 0.7390)
  200. PubMed_10:856_synonym (AskQE: 68.2508, Standard: 0.7870)
  201. PubMed_10:858_alteration (AskQE: 32.0729, Standard: 0.6810)
  202. PubMed_10:858_expansion_impact (AskQE: 34.6342, Standard: 0.7310)
  203. PubMed_10:858_expansion_noimpact (AskQE: 56.4366, Standard: 0.7490)
  204. PubMed_10:858_spelling (AskQE: 50.9265, Standard: 0.4770)
  205. PubMed_10:858_synonym (AskQE: 38.3940, Standard: 0.7400)
  206. PubMed_10:860_alteration (AskQE: 20.9635, Standard: 0.7720)
  207. PubMed_10:860_expansion_impact (AskQE: 52.9046, Standard: 0.7710)
  208. PubMed_10:860_expansion_noimpact (AskQE: 59.7098, Standard: 0.7750)
  209. PubMed_10:860_spelling (AskQE: 61.9390, Standard: 0.7160)
  210. PubMed_10:860_synonym (AskQE: 61.9390, Standard: 0.7760)
  211. PubMed_10:862_alteration (AskQE: 66.6667, Standard: 0.7760)
  212. PubMed_10:862_expansion_impact (AskQE: 18.9710, Standard: 0.7610)
  213. PubMed_10:862_expansion_noimpact (AskQE: 66.6667, Standard: 0.7760)
  214. PubMed_10:862_spelling (AskQE: 100.0000, Standard: 0.7170)
  215. PubMed_10:862_synonym (AskQE: 100.0000, Standard: 0.7840)
  216. PubMed_10:864_alteration (AskQE: 50.0000, Standard: 0.7720)
  217. PubMed_10:864_expansion_impact (AskQE: 0.0000, Standard: 0.7420)
  218. PubMed_10:864_expansion_noimpact (AskQE: 50.0000, Standard: 0.7980)
  219. PubMed_10:864_spelling (AskQE: 59.8581, Standard: 0.7650)
  220. PubMed_10:864_synonym (AskQE: 53.2836, Standard: 0.7560)
  221. PubMed_10:868_alteration (AskQE: 17.5265, Standard: 0.7250)
  222. PubMed_10:868_expansion_impact (AskQE: 11.6698, Standard: 0.8010)
  223. PubMed_10:868_expansion_noimpact (AskQE: 18.8667, Standard: 0.7970)
  224. PubMed_10:868_spelling (AskQE: 18.8667, Standard: 0.6360)
  225. PubMed_10:868_synonym (AskQE: 16.2212, Standard: 0.7740)
  226. PubMed_10:873_alteration (AskQE: 64.1160, Standard: 0.6390)
  227. PubMed_10:873_expansion_impact (AskQE: 53.0253, Standard: 0.6890)
  228. PubMed_10:873_expansion_noimpact (AskQE: 33.4261, Standard: 0.7060)
  229. PubMed_10:873_spelling (AskQE: 71.2468, Standard: 0.5270)
  230. PubMed_10:873_synonym (AskQE: 58.4466, Standard: 0.7210)
  231. PubMed_10:875_alteration (AskQE: 14.5772, Standard: 0.7870)
  232. PubMed_10:875_expansion_impact (AskQE: 7.7585, Standard: 0.7530)
  233. PubMed_10:875_expansion_noimpact (AskQE: 17.4831, Standard: 0.7380)
  234. PubMed_10:875_spelling (AskQE: 17.7078, Standard: 0.6970)
  235. PubMed_10:875_synonym (AskQE: 17.7078, Standard: 0.8320)
  236. PubMed_10:879_alteration (AskQE: 59.1032, Standard: 0.6180)
  237. PubMed_10:879_expansion_impact (AskQE: 59.1032, Standard: 0.6070)
  238. PubMed_10:879_expansion_noimpact (AskQE: 55.8453, Standard: 0.6140)
  239. PubMed_10:879_spelling (AskQE: 39.7537, Standard: 0.4770)
  240. PubMed_10:879_synonym (AskQE: 55.1679, Standard: 0.6580)
  241. PubMed_10:880_alteration (AskQE: 40.3706, Standard: 0.6630)
  242. PubMed_10:880_expansion_impact (AskQE: 36.1159, Standard: 0.7500)
  243. PubMed_10:880_expansion_noimpact (AskQE: 64.9349, Standard: 0.7550)
  244. PubMed_10:880_spelling (AskQE: 73.0590, Standard: 0.7500)
  245. PubMed_10:880_synonym (AskQE: 73.0590, Standard: 0.7500)
  246. PubMed_10:882_alteration (AskQE: 70.7998, Standard: 0.6480)
  247. PubMed_10:882_expansion_impact (AskQE: 66.3648, Standard: 0.7260)
  248. PubMed_10:882_expansion_noimpact (AskQE: 31.8223, Standard: 0.7080)
  249. PubMed_10:882_spelling (AskQE: 100.0000, Standard: 0.7230)
  250. PubMed_10:882_synonym (AskQE: 61.0496, Standard: 0.7850)
  251. PubMed_10:883_alteration (AskQE: 15.0014, Standard: 0.6580)
  252. PubMed_10:883_expansion_impact (AskQE: 24.4101, Standard: 0.7000)
  253. PubMed_10:883_expansion_noimpact (AskQE: 42.3966, Standard: 0.7390)
  254. PubMed_10:883_spelling (AskQE: 18.8153, Standard: 0.6360)
  255. PubMed_10:883_synonym (AskQE: 21.5398, Standard: 0.6940)
  256. PubMed_10:886_alteration (AskQE: 9.2403, Standard: 0.7190)
  257. PubMed_10:886_expansion_impact (AskQE: 29.2471, Standard: 0.7130)
  258. PubMed_10:886_expansion_noimpact (AskQE: 36.2203, Standard: 0.7380)
  259. PubMed_10:886_spelling (AskQE: 36.3651, Standard: 0.7240)
  260. PubMed_10:886_synonym (AskQE: 36.3651, Standard: 0.7170)
  261. PubMed_10:887_alteration (AskQE: 40.6155, Standard: 0.6720)
  262. PubMed_10:887_expansion_impact (AskQE: 41.5891, Standard: 0.6480)
  263. PubMed_10:887_expansion_noimpact (AskQE: 38.0596, Standard: 0.6710)
  264. PubMed_10:887_spelling (AskQE: 41.5891, Standard: 0.7000)
  265. PubMed_10:887_synonym (AskQE: 40.0992, Standard: 0.6770)
  266. PubMed_10:888_alteration (AskQE: 28.0847, Standard: 0.6380)
  267. PubMed_10:888_expansion_impact (AskQE: 32.0517, Standard: 0.6450)
  268. PubMed_10:888_expansion_noimpact (AskQE: 22.4495, Standard: 0.6630)
  269. PubMed_10:888_spelling (AskQE: 37.8169, Standard: 0.4360)
  270. PubMed_10:888_synonym (AskQE: 54.6222, Standard: 0.6030)
  271. PubMed_10:889_alteration (AskQE: 30.5865, Standard: 0.6910)
  272. PubMed_10:889_expansion_impact (AskQE: 63.7088, Standard: 0.7460)
  273. PubMed_10:889_expansion_noimpact (AskQE: 78.9023, Standard: 0.7620)
  274. PubMed_10:889_spelling (AskQE: 36.0317, Standard: 0.7300)
  275. PubMed_10:889_synonym (AskQE: 65.1663, Standard: 0.7420)
  276. PubMed_10:890_alteration (AskQE: 74.4626, Standard: 0.7270)
  277. PubMed_10:890_expansion_impact (AskQE: 55.6462, Standard: 0.7950)
  278. PubMed_10:890_expansion_noimpact (AskQE: 59.4917, Standard: 0.7900)
  279. PubMed_10:890_spelling (AskQE: 84.4626, Standard: 0.5570)
  280. PubMed_10:890_synonym (AskQE: 84.4626, Standard: 0.7910)
  281. PubMed_10:892_alteration (AskQE: 24.9115, Standard: 0.7750)
  282. PubMed_10:892_expansion_impact (AskQE: 28.1893, Standard: 0.7810)
  283. PubMed_10:892_expansion_noimpact (AskQE: 28.1893, Standard: 0.7810)
  284. PubMed_10:892_spelling (AskQE: 53.7953, Standard: 0.7620)
  285. PubMed_10:892_synonym (AskQE: 29.7850, Standard: 0.7740)
  286. PubMed_10:894_alteration (AskQE: 31.7943, Standard: 0.6860)
  287. PubMed_10:894_expansion_impact (AskQE: 50.4839, Standard: 0.7410)
  288. PubMed_10:894_expansion_noimpact (AskQE: 52.4001, Standard: 0.7360)
  289. PubMed_10:894_spelling (AskQE: 52.4001, Standard: 0.7140)
  290. PubMed_10:894_synonym (AskQE: 52.4001, Standard: 0.7260)
  291. PubMed_10:899_alteration (AskQE: 26.4997, Standard: 0.7590)
  292. PubMed_10:899_expansion_impact (AskQE: 31.1598, Standard: 0.7810)
  293. PubMed_10:899_expansion_noimpact (AskQE: 45.8338, Standard: 0.7830)
  294. PubMed_10:899_spelling (AskQE: 56.4917, Standard: 0.7270)
  295. PubMed_10:899_synonym (AskQE: 45.4045, Standard: 0.7840)
  296. PubMed_10:900_alteration (AskQE: 2.4894, Standard: 0.5850)
  297. PubMed_10:900_expansion_impact (AskQE: 36.7206, Standard: 0.7970)
  298. PubMed_10:900_expansion_noimpact (AskQE: 2.4894, Standard: 0.8570)
  299. PubMed_10:900_spelling (AskQE: 2.4894, Standard: 0.5860)
  300. PubMed_10:900_synonym (AskQE: 37.6850, Standard: 0.8690)
  301. PubMed_10:901_alteration (AskQE: 29.6202, Standard: 0.6400)
  302. PubMed_10:901_expansion_impact (AskQE: 35.0836, Standard: 0.6960)
  303. PubMed_10:901_expansion_noimpact (AskQE: 34.5728, Standard: 0.7020)
  304. PubMed_10:901_spelling (AskQE: 34.5728, Standard: 0.7000)
  305. PubMed_10:901_synonym (AskQE: 14.0369, Standard: 0.6700)
  306. PubMed_10:903_alteration (AskQE: 50.7734, Standard: 0.6550)
