Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2746
  P-value: 1.5641e-18
  Number of samples: 987

Common keys (987):
  58. PubMed_10:1029_synonym (AskQE: 0.3736, Standard: 0.8310)
  59. PubMed_10:1030_alteration (AskQE: 0.5578, Standard: 0.7090)
  60. PubMed_10:1030_synonym (AskQE: 0.8090, Standard: 0.7350)
  61. PubMed_10:1033_alteration (AskQE: 0.8868, Standard: 0.6820)
  62. PubMed_10:1033_synonym (AskQE: 0.9561, Standard: 0.8110)
  63. PubMed_10:1042_alteration (AskQE: 0.5524, Standard: 0.6910)
  64. PubMed_10:1042_synonym (AskQE: 0.7033, Standard: 0.7370)
  65. PubMed_10:1043_alteration (AskQE: 0.3809, Standard: 0.6900)
  66. PubMed_10:1043_synonym (AskQE: 0.9573, Standard: 0.8010)
  67. PubMed_10:1046_alteration (AskQE: 0.3232, Standard: 0.7290)
  68. PubMed_10:1046_synonym (AskQE: 0.3780, Standard: 0.7350)
  69. PubMed_10:1047_alteration (AskQE: 0.6191, Standard: 0.8070)
  70. PubMed_10:1047_synonym (AskQE: 0.6007, Standard: 0.5440)
  71. PubMed_10:1049_alteration (AskQE: 0.7874, Standard: 0.6780)
  72. PubMed_10:1049_synonym (AskQE: 0.7663, Standard: 0.7530)
  73. PubMed_10:1051_alteration (AskQE: 0.7512, Standard: 0.6520)
  74. PubMed_10:1051_synonym (AskQE: 0.6196, Standard: 0.7510)
  75. PubMed_10:1052_alteration (AskQE: 0.6441, Standard: 0.7830)
  76. PubMed_10:1052_synonym (AskQE: 0.9128, Standard: 0.8020)
  77. PubMed_10:1053_alteration (AskQE: 0.7348, Standard: 0.6530)
  78. PubMed_10:1053_synonym (AskQE: 0.7813, Standard: 0.7540)
  79. PubMed_10:856_alteration (AskQE: 0.8001, Standard: 0.7410)
  80. PubMed_10:856_synonym (AskQE: 0.9665, Standard: 0.7870)
  81. PubMed_10:858_alteration (AskQE: 0.6558, Standard: 0.6810)
  82. PubMed_10:858_synonym (AskQE: 0.5340, Standard: 0.7400)
  83. PubMed_10:860_alteration (AskQE: 0.6028, Standard: 0.7720)
  84. PubMed_10:860_synonym (AskQE: 0.9115, Standard: 0.7760)
  85. PubMed_10:862_alteration (AskQE: 0.7034, Standard: 0.7760)
  86. PubMed_10:862_synonym (AskQE: 1.0000, Standard: 0.7840)
  87. PubMed_10:864_alteration (AskQE: 0.5581, Standard: 0.7720)
  88. PubMed_10:864_synonym (AskQE: 0.6585, Standard: 0.7560)
  89. PubMed_10:868_alteration (AskQE: 0.6056, Standard: 0.7250)
  90. PubMed_10:868_synonym (AskQE: 0.5101, Standard: 0.7740)
  91. PubMed_10:873_alteration (AskQE: 0.9889, Standard: 0.6390)
