Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.4133
  P-value: 5.2814e-42
  Number of samples: 987

Common keys (987):
  113. PubMed_10:892_alteration (AskQE: 0.8847, Standard: 0.8998)
  114. PubMed_10:892_synonym (AskQE: 0.9251, Standard: 0.9244)
  115. PubMed_10:894_alteration (AskQE: 0.5772, Standard: 0.8716)
  116. PubMed_10:894_synonym (AskQE: 0.6880, Standard: 0.9083)
  117. PubMed_10:899_alteration (AskQE: 0.8667, Standard: 0.9666)
  118. PubMed_10:899_synonym (AskQE: 0.9171, Standard: 0.9914)
  119. PubMed_10:900_alteration (AskQE: 0.1628, Standard: 0.8177)
  120. PubMed_10:900_synonym (AskQE: 0.8364, Standard: 0.9664)
  121. PubMed_10:901_alteration (AskQE: 0.8014, Standard: 0.8572)
  122. PubMed_10:901_synonym (AskQE: 0.8806, Standard: 0.8858)
  123. PubMed_10:903_alteration (AskQE: 0.9105, Standard: 0.9592)
  124. PubMed_10:903_synonym (AskQE: 0.8635, Standard: 0.9557)
  125. PubMed_10:905_alteration (AskQE: 0.3586, Standard: 0.7967)
  126. PubMed_10:905_synonym (AskQE: 1.0000, Standard: 0.8980)
  127. PubMed_10:906_alteration (AskQE: 0.6374, Standard: 0.8538)
  128. PubMed_10:906_synonym (AskQE: 0.6256, Standard: 0.9091)
  129. PubMed_10:907_alteration (AskQE: 0.5275, Standard: 0.9189)
  130. PubMed_10:907_synonym (AskQE: 1.0000, Standard: 0.9752)
  131. PubMed_10:908_alteration (AskQE: 0.5095, Standard: 0.7135)
  132. PubMed_10:908_synonym (AskQE: 0.7014, Standard: 0.7753)
  133. PubMed_10:909_alteration (AskQE: 0.5540, Standard: 0.7964)
  134. PubMed_10:909_synonym (AskQE: 0.9205, Standard: 0.9427)
  135. PubMed_10:911_alteration (AskQE: 0.9060, Standard: 0.8644)
  136. PubMed_10:911_synonym (AskQE: 0.7016, Standard: 0.8927)
  137. PubMed_10:913_alteration (AskQE: 0.9216, Standard: 0.9553)
  138. PubMed_10:913_synonym (AskQE: 0.9637, Standard: 0.9481)
  139. PubMed_10:915_alteration (AskQE: 0.6913, Standard: 0.9143)
  140. PubMed_10:915_synonym (AskQE: 0.8881, Standard: 0.9605)
  141. PubMed_10:918_alteration (AskQE: 0.7768, Standard: 0.8453)
  142. PubMed_10:918_synonym (AskQE: 0.8804, Standard: 0.9574)
  143. PubMed_10:919_alteration (AskQE: 0.8526, Standard: 0.9337)
  144. PubMed_10:919_synonym (AskQE: 0.9180, Standard: 0.9604)
  145. PubMed_10:922_alteration (AskQE: 0.7603, Standard: 0.9555)
  146. PubMed_10:922_synonym (AskQE: 0.9647, Standard: 0.9713)
  147. PubMed_10:923_alteration (AskQE: 0.0834, Standard: 0.8930)
  148. PubMed_10:923_synonym (AskQE: 1.0000, Standard: 0.9907)
  149. PubMed_10:926_alteration (AskQE: 0.2561, Standard: 0.9106)
  150. PubMed_10:926_synonym (AskQE: 0.6156, Standard: 0.9505)
  151. PubMed_10:927_alteration (AskQE: 0.6922, Standard: 0.7884)
  152. PubMed_10:927_synonym (AskQE: 1.0000, Standard: 1.0000)
  153. PubMed_10:928_alteration (AskQE: 0.2499, Standard: 0.9212)
  154. PubMed_10:928_synonym (AskQE: 1.0000, Standard: 0.9527)
  155. PubMed_10:930_alteration (AskQE: 0.8176, Standard: 0.9126)
  156. PubMed_10:930_synonym (AskQE: 0.8858, Standard: 0.9146)
  157. PubMed_10:934_alteration (AskQE: 0.5158, Standard: 0.8411)
  158. PubMed_10:934_synonym (AskQE: 0.5795, Standard: 0.8555)
  159. PubMed_10:937_alteration (AskQE: 0.6749, Standard: 0.8811)
  160. PubMed_10:937_synonym (AskQE: 0.8522, Standard: 0.9461)
  161. PubMed_10:938_alteration (AskQE: 0.8993, Standard: 0.8919)
  162. PubMed_10:938_synonym (AskQE: 0.8272, Standard: 0.8974)
  163. PubMed_10:941_alteration (AskQE: 0.9118, Standard: 0.8593)
  164. PubMed_10:941_synonym (AskQE: 0.8696, Standard: 0.8937)
  165. PubMed_10:943_alteration (AskQE: 0.3526, Standard: 0.8780)
  166. PubMed_10:943_synonym (AskQE: 0.4770, Standard: 0.8577)
  167. PubMed_10:951_alteration (AskQE: 0.9161, Standard: 0.9430)
  168. PubMed_10:951_synonym (AskQE: 0.9432, Standard: 0.9435)
  169. PubMed_10:954_alteration (AskQE: 0.8267, Standard: 0.8252)
  170. PubMed_10:954_synonym (AskQE: 0.5753, Standard: 0.8755)
  171. PubMed_10:955_alteration (AskQE: 0.6263, Standard: 0.8937)
  172. PubMed_10:955_synonym (AskQE: 0.6462, Standard: 0.9127)
  173. PubMed_10:958_alteration (AskQE: 0.7271, Standard: 0.8328)
  174. PubMed_10:958_synonym (AskQE: 0.7206, Standard: 0.8773)
  175. PubMed_10:961_alteration (AskQE: 0.9874, Standard: 0.9128)
  176. PubMed_10:961_synonym (AskQE: 0.9971, Standard: 0.8859)
  177. PubMed_10:963_alteration (AskQE: 0.8833, Standard: 0.9262)
  178. PubMed_10:963_synonym (AskQE: 0.8181, Standard: 0.9484)
  179. PubMed_10:964_alteration (AskQE: 0.4414, Standard: 0.9355)
  180. PubMed_10:964_synonym (AskQE: 0.4116, Standard: 0.9297)
  181. PubMed_10:965_alteration (AskQE: 0.7760, Standard: 0.9028)
  182. PubMed_10:965_synonym (AskQE: 0.7717, Standard: 0.8870)
  183. PubMed_10:967_alteration (AskQE: 0.7923, Standard: 0.8553)
  184. PubMed_10:967_synonym (AskQE: 0.8333, Standard: 0.8776)
  185. PubMed_10:968_alteration (AskQE: 0.9910, Standard: 0.8532)
  186. PubMed_10:968_synonym (AskQE: 0.5535, Standard: 0.9267)
  187. PubMed_10:971_alteration (AskQE: 0.7257, Standard: 0.7981)
  188. PubMed_10:971_synonym (AskQE: 0.8054, Standard: 0.8220)
  189. PubMed_10:974_alteration (AskQE: 0.8636, Standard: 0.9434)
  190. PubMed_10:974_synonym (AskQE: 0.7414, Standard: 0.9248)
  191. PubMed_10:979_alteration (AskQE: 0.7477, Standard: 0.9224)
  192. PubMed_10:979_synonym (AskQE: 0.9020, Standard: 0.9318)
  193. PubMed_10:980_alteration (AskQE: 0.7263, Standard: 0.8485)
  194. PubMed_10:980_synonym (AskQE: 0.9406, Standard: 0.9791)
  195. PubMed_10:984_alteration (AskQE: 0.8617, Standard: 0.9088)
  196. PubMed_10:984_synonym (AskQE: 0.6414, Standard: 0.8980)
  197. PubMed_10:985_alteration (AskQE: 0.8103, Standard: 0.8688)
  198. PubMed_10:985_synonym (AskQE: 0.7630, Standard: 0.9237)
  199. PubMed_10:986_alteration (AskQE: 0.1095, Standard: 0.8924)
  200. PubMed_10:986_synonym (AskQE: 0.9347, Standard: 0.9718)
  201. PubMed_10:987_alteration (AskQE: 0.6772, Standard: 0.7499)
  202. PubMed_10:987_synonym (AskQE: 0.4618, Standard: 0.5260)
  203. PubMed_10:988_alteration (AskQE: 0.8701, Standard: 0.8579)
  204. PubMed_10:988_synonym (AskQE: 0.9935, Standard: 0.9484)
  205. PubMed_10:992_alteration (AskQE: 0.8758, Standard: 0.8976)
  206. PubMed_10:992_synonym (AskQE: 0.9635, Standard: 0.9641)
  207. PubMed_10:994_alteration (AskQE: 0.7428, Standard: 0.9070)
  208. PubMed_10:994_synonym (AskQE: 0.9540, Standard: 0.9481)
  209. PubMed_10:995_alteration (AskQE: 0.8056, Standard: 0.8863)
  210. PubMed_10:995_synonym (AskQE: 0.9205, Standard: 0.8857)
  211. PubMed_10:996_alteration (AskQE: 0.7641, Standard: 0.8697)
  212. PubMed_10:996_synonym (AskQE: 0.8033, Standard: 0.8880)
  213. PubMed_10:999_alteration (AskQE: 0.5807, Standard: 0.8517)
  214. PubMed_10:999_synonym (AskQE: 0.5248, Standard: 0.8748)
  215. PubMed_9:792_alteration (AskQE: 0.7957, Standard: 0.9466)
  216. PubMed_9:792_synonym (AskQE: 1.0000, Standard: 0.9548)
  217. PubMed_9:794_alteration (AskQE: 0.5912, Standard: 0.9764)
  218. PubMed_9:794_synonym (AskQE: 0.8882, Standard: 0.9666)
  219. PubMed_9:795_alteration (AskQE: 0.8045, Standard: 0.8992)
  220. PubMed_9:795_synonym (AskQE: 0.8718, Standard: 0.9453)
  221. PubMed_9:797_alteration (AskQE: 0.8517, Standard: 0.9304)
  222. PubMed_9:797_synonym (AskQE: 1.0000, Standard: 0.9183)
  223. PubMed_9:799_alteration (AskQE: 0.5538, Standard: 0.9046)
  224. PubMed_9:799_synonym (AskQE: 0.7956, Standard: 0.9612)
  225. PubMed_9:802_alteration (AskQE: 0.0856, Standard: 0.9137)
  226. PubMed_9:802_synonym (AskQE: 0.7583, Standard: 0.9408)
  227. PubMed_9:803_alteration (AskQE: 0.4863, Standard: 0.8275)
  228. PubMed_9:803_synonym (AskQE: 0.5787, Standard: 0.8980)
  229. PubMed_9:804_alteration (AskQE: 0.9385, Standard: 0.9512)
  230. PubMed_9:804_synonym (AskQE: 0.9117, Standard: 0.9531)
  231. PubMed_9:805_alteration (AskQE: 0.6585, Standard: 0.8338)
  232. PubMed_9:805_synonym (AskQE: 0.7132, Standard: 0.9377)
  233. PubMed_9:806_alteration (AskQE: 0.8824, Standard: 0.9576)
  234. PubMed_9:806_synonym (AskQE: 0.8506, Standard: 0.9663)
  235. PubMed_9:807_alteration (AskQE: 0.5885, Standard: 0.9385)
  236. PubMed_9:807_synonym (AskQE: 0.6123, Standard: 0.9696)
  237. PubMed_9:808_alteration (AskQE: 0.9070, Standard: 0.9507)
  238. PubMed_9:808_synonym (AskQE: 0.9281, Standard: 0.9799)
  239. PubMed_9:810_alteration (AskQE: 0.5722, Standard: 0.8950)
  240. PubMed_9:810_synonym (AskQE: 0.7161, Standard: 0.9320)
  241. PubMed_9:814_alteration (AskQE: 0.5818, Standard: 0.9072)
  242. PubMed_9:814_synonym (AskQE: 0.9823, Standard: 0.9529)
  243. PubMed_9:817_alteration (AskQE: 0.4681, Standard: 0.9109)
  244. PubMed_9:817_synonym (AskQE: 0.9957, Standard: 0.9699)
  245. PubMed_9:818_alteration (AskQE: 0.9601, Standard: 0.9471)
  246. PubMed_9:818_synonym (AskQE: 0.9952, Standard: 0.9525)
  247. PubMed_9:819_alteration (AskQE: 0.6492, Standard: 0.8550)
  248. PubMed_9:819_synonym (AskQE: 0.9021, Standard: 0.8473)
  249. PubMed_9:820_alteration (AskQE: 0.7467, Standard: 0.7042)
  250. PubMed_9:820_synonym (AskQE: 0.5167, Standard: 0.7963)
  251. PubMed_9:821_alteration (AskQE: 0.3889, Standard: 0.9393)
  252. PubMed_9:821_synonym (AskQE: 1.0000, Standard: 0.9669)
  253. PubMed_9:822_alteration (AskQE: 0.8903, Standard: 0.9414)
  254. PubMed_9:822_synonym (AskQE: 0.9760, Standard: 0.9488)
  255. PubMed_9:823_alteration (AskQE: 0.9060, Standard: 0.9336)
  256. PubMed_9:823_synonym (AskQE: 0.9490, Standard: 0.9671)
  257. PubMed_9:825_alteration (AskQE: 0.9532, Standard: 0.9631)
  258. PubMed_9:825_synonym (AskQE: 0.8758, Standard: 0.9848)
  259. PubMed_9:826_alteration (AskQE: 0.8375, Standard: 0.9287)
  260. PubMed_9:826_synonym (AskQE: 0.9554, Standard: 0.9548)
  261. PubMed_9:829_alteration (AskQE: 0.9046, Standard: 0.8797)
  262. PubMed_9:829_synonym (AskQE: 0.8381, Standard: 0.9572)
  263. PubMed_9:830_alteration (AskQE: 0.3975, Standard: 0.8076)
  264. PubMed_9:830_synonym (AskQE: 0.9061, Standard: 0.9496)
  265. PubMed_9:831_alteration (AskQE: 0.5453, Standard: 0.8322)
  266. PubMed_9:831_synonym (AskQE: 0.5578, Standard: 0.9124)
  267. PubMed_9:832_alteration (AskQE: 0.6546, Standard: 0.8072)
  268. PubMed_9:832_synonym (AskQE: 1.0000, Standard: 0.9828)
  269. PubMed_9:836_alteration (AskQE: 0.5179, Standard: 0.8670)
  270. PubMed_9:836_synonym (AskQE: 0.8857, Standard: 0.9597)
  271. PubMed_9:837_alteration (AskQE: 0.4861, Standard: 0.8773)
  272. PubMed_9:837_synonym (AskQE: 0.5584, Standard: 0.9191)
  273. PubMed_9:838_alteration (AskQE: 0.7488, Standard: 0.9086)
  274. PubMed_9:838_synonym (AskQE: 0.7225, Standard: 0.9372)
  275. PubMed_9:839_alteration (AskQE: 0.8754, Standard: 0.8960)
  276. PubMed_9:839_synonym (AskQE: 0.9855, Standard: 0.9624)
  277. PubMed_9:840_alteration (AskQE: 0.6259, Standard: 0.8778)
  278. PubMed_9:840_synonym (AskQE: 0.9150, Standard: 0.9319)
  279. PubMed_9:841_alteration (AskQE: 0.7936, Standard: 0.9157)
  280. PubMed_9:841_synonym (AskQE: 0.7607, Standard: 0.9427)
  281. PubMed_9:844_alteration (AskQE: 0.8044, Standard: 0.8840)
  282. PubMed_9:844_synonym (AskQE: 0.8784, Standard: 0.9050)
  283. PubMed_9:845_alteration (AskQE: 0.3985, Standard: 0.8618)
  284. PubMed_9:845_synonym (AskQE: 0.8931, Standard: 0.9374)
  285. PubMed_9:846_alteration (AskQE: 0.5435, Standard: 0.8737)
  286. PubMed_9:846_synonym (AskQE: 0.6943, Standard: 0.9216)
  287. PubMed_9:847_alteration (AskQE: 0.7697, Standard: 0.9263)
  288. PubMed_9:847_synonym (AskQE: 0.8222, Standard: 0.9613)
  289. PubMed_9:849_synonym (AskQE: 1.0000, Standard: 1.0000)
  290. PubMed_9:850_alteration (AskQE: 0.8944, Standard: 0.9310)
  291. PubMed_9:850_synonym (AskQE: 0.8101, Standard: 0.9170)
  292. PubMed_9:853_synonym (AskQE: 0.8531, Standard: 0.8450)
  293. PubMed_9:854_alteration (AskQE: 0.8302, Standard: 0.8766)
  294. PubMed_9:854_synonym (AskQE: 0.9382, Standard: 0.9480)
  295. Wikinews_2:1100_alteration (AskQE: 0.7259, Standard: 0.9234)
  296. Wikinews_2:1100_synonym (AskQE: 0.9793, Standard: 0.9443)
  297. Wikinews_2:1104_alteration (AskQE: 0.5423, Standard: 0.9038)
  298. Wikinews_2:1104_synonym (AskQE: 0.9314, Standard: 0.9412)
  299. Wikinews_2:1105_alteration (AskQE: 1.0000, Standard: 0.9565)
  300. Wikinews_2:1105_synonym (AskQE: 1.0000, Standard: 0.9658)
  301. Wikinews_5:1148_alteration (AskQE: 0.6674, Standard: 0.8663)
  302. Wikinews_5:1148_synonym (AskQE: 0.8126, Standard: 0.8533)
