Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: em (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.1659
  P-value: 1.0146e-16
  Number of samples: 2473

Common keys (2473):
  130. PubMed_10:1024_synonym (AskQE: 0.6000, Standard: 0.9778)
  131. PubMed_10:1025_alteration (AskQE: 0.2500, Standard: 0.8843)
  132. PubMed_10:1025_expansion_impact (AskQE: 0.2500, Standard: 0.8809)
  133. PubMed_10:1025_expansion_noimpact (AskQE: 0.2500, Standard: 0.9536)
  134. PubMed_10:1025_spelling (AskQE: 0.2500, Standard: 0.9737)
  135. PubMed_10:1025_synonym (AskQE: 0.2500, Standard: 0.9406)
  136. PubMed_10:1027_alteration (AskQE: 0.0000, Standard: 0.9134)
  137. PubMed_10:1027_expansion_impact (AskQE: 0.3333, Standard: 0.9434)
  138. PubMed_10:1027_expansion_noimpact (AskQE: 0.3333, Standard: 0.9657)
  139. PubMed_10:1027_spelling (AskQE: 0.3333, Standard: 0.6271)
  140. PubMed_10:1027_synonym (AskQE: 0.3333, Standard: 0.9489)
  141. PubMed_10:1029_alteration (AskQE: 0.0000, Standard: 0.8735)
  142. PubMed_10:1029_expansion_impact (AskQE: 0.0000, Standard: 0.8964)
  143. PubMed_10:1029_expansion_noimpact (AskQE: 0.0000, Standard: 0.9316)
  144. PubMed_10:1029_spelling (AskQE: 0.0000, Standard: 0.9328)
  145. PubMed_10:1029_synonym (AskQE: 0.0000, Standard: 0.9328)
  146. PubMed_10:1030_alteration (AskQE: 0.0000, Standard: 0.9276)
  147. PubMed_10:1030_expansion_impact (AskQE: 0.0000, Standard: 0.8795)
  148. PubMed_10:1030_expansion_noimpact (AskQE: 0.0000, Standard: 0.9119)
  149. PubMed_10:1030_spelling (AskQE: 0.0000, Standard: 0.9210)
  150. PubMed_10:1030_synonym (AskQE: 0.0000, Standard: 0.8945)
  151. PubMed_10:1033_alteration (AskQE: 0.0000, Standard: 0.8856)
  152. PubMed_10:1033_expansion_impact (AskQE: 0.0000, Standard: 0.8862)
  153. PubMed_10:1033_expansion_noimpact (AskQE: 0.0000, Standard: 0.9237)
  154. PubMed_10:1033_spelling (AskQE: 0.0000, Standard: 0.9358)
  155. PubMed_10:1033_synonym (AskQE: 0.0000, Standard: 0.9340)
  156. PubMed_10:1042_alteration (AskQE: 0.0000, Standard: 0.8704)
  157. PubMed_10:1042_expansion_impact (AskQE: 0.0000, Standard: 0.9099)
  158. PubMed_10:1042_expansion_noimpact (AskQE: 0.0000, Standard: 0.9370)
  159. PubMed_10:1042_spelling (AskQE: 0.0000, Standard: 0.9456)
  160. PubMed_10:1042_synonym (AskQE: 0.0000, Standard: 0.9424)
  161. PubMed_10:1043_alteration (AskQE: 0.0000, Standard: 0.9153)
  162. PubMed_10:1043_expansion_impact (AskQE: 0.0000, Standard: 0.9165)
  163. PubMed_10:1043_expansion_noimpact (AskQE: 0.0000, Standard: 0.9638)
  164. PubMed_10:1043_spelling (AskQE: 0.0000, Standard: 0.9806)
  165. PubMed_10:1043_synonym (AskQE: 0.0000, Standard: 0.9806)
  166. PubMed_10:1046_alteration (AskQE: 0.0000, Standard: 0.8453)
  167. PubMed_10:1046_expansion_impact (AskQE: 0.0000, Standard: 0.9041)
  168. PubMed_10:1046_expansion_noimpact (AskQE: 0.0000, Standard: 0.9006)
  169. PubMed_10:1046_spelling (AskQE: 0.0000, Standard: 0.9350)
  170. PubMed_10:1046_synonym (AskQE: 0.0000, Standard: 0.9096)
  171. PubMed_10:1047_alteration (AskQE: 0.0000, Standard: 0.8897)
  172. PubMed_10:1047_expansion_impact (AskQE: 0.5000, Standard: 0.8579)
  173. PubMed_10:1047_expansion_noimpact (AskQE: 0.5000, Standard: 0.8815)
  174. PubMed_10:1047_spelling (AskQE: 0.0000, Standard: 0.5465)
  175. PubMed_10:1047_synonym (AskQE: 0.0000, Standard: 0.5668)
  176. PubMed_10:1049_alteration (AskQE: 0.0000, Standard: 0.9009)
  177. PubMed_10:1049_expansion_impact (AskQE: 0.0000, Standard: 0.9469)
  178. PubMed_10:1049_expansion_noimpact (AskQE: 0.0000, Standard: 0.9605)
  179. PubMed_10:1049_spelling (AskQE: 0.6000, Standard: 0.9887)
  180. PubMed_10:1049_synonym (AskQE: 0.2000, Standard: 0.9499)
  181. PubMed_10:1051_alteration (AskQE: 0.0000, Standard: 0.8946)
  182. PubMed_10:1051_expansion_impact (AskQE: 0.0000, Standard: 0.8638)
  183. PubMed_10:1051_expansion_noimpact (AskQE: 0.0000, Standard: 0.8847)
  184. PubMed_10:1051_spelling (AskQE: 0.0000, Standard: 0.9211)
  185. PubMed_10:1051_synonym (AskQE: 0.2000, Standard: 0.9487)
  186. PubMed_10:1052_alteration (AskQE: 0.2500, Standard: 0.8908)
  187. PubMed_10:1052_expansion_impact (AskQE: 0.2500, Standard: 0.9171)
  188. PubMed_10:1052_expansion_noimpact (AskQE: 0.0000, Standard: 0.9214)
  189. PubMed_10:1052_spelling (AskQE: 0.2500, Standard: 0.9515)
  190. PubMed_10:1052_synonym (AskQE: 0.2500, Standard: 0.9336)
  191. PubMed_10:1053_alteration (AskQE: 0.0000, Standard: 0.8609)
  192. PubMed_10:1053_expansion_impact (AskQE: 0.2500, Standard: 0.8962)
  193. PubMed_10:1053_expansion_noimpact (AskQE: 0.2500, Standard: 0.9178)
  194. PubMed_10:1053_spelling (AskQE: 0.2500, Standard: 0.9299)
  195. PubMed_10:1053_synonym (AskQE: 0.2500, Standard: 0.9072)
