Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: chrf (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3186
  P-value: 1.8872e-59
  Number of samples: 2473

Common keys (2473):
  124. PubMed_10:1015_spelling (AskQE: 68.9404, Standard: 0.8886)
  125. PubMed_10:1015_synonym (AskQE: 47.0019, Standard: 0.9006)
  126. PubMed_10:1024_alteration (AskQE: 74.7045, Standard: 0.9742)
  127. PubMed_10:1024_expansion_impact (AskQE: 41.6679, Standard: 0.9328)
  128. PubMed_10:1024_expansion_noimpact (AskQE: 72.0221, Standard: 0.9623)
  129. PubMed_10:1024_spelling (AskQE: 82.5585, Standard: 0.6307)
  130. PubMed_10:1024_synonym (AskQE: 88.3044, Standard: 0.9778)
  131. PubMed_10:1025_alteration (AskQE: 65.6058, Standard: 0.8843)
  132. PubMed_10:1025_expansion_impact (AskQE: 57.6389, Standard: 0.8809)
  133. PubMed_10:1025_expansion_noimpact (AskQE: 61.6915, Standard: 0.9536)
  134. PubMed_10:1025_spelling (AskQE: 65.1004, Standard: 0.9737)
  135. PubMed_10:1025_synonym (AskQE: 65.1004, Standard: 0.9406)
  136. PubMed_10:1027_alteration (AskQE: 51.1948, Standard: 0.9134)
  137. PubMed_10:1027_expansion_impact (AskQE: 75.9944, Standard: 0.9434)
  138. PubMed_10:1027_expansion_noimpact (AskQE: 78.1617, Standard: 0.9657)
  139. PubMed_10:1027_spelling (AskQE: 77.3225, Standard: 0.6271)
  140. PubMed_10:1027_synonym (AskQE: 75.3646, Standard: 0.9489)
  141. PubMed_10:1029_alteration (AskQE: 34.6070, Standard: 0.8735)
  142. PubMed_10:1029_expansion_impact (AskQE: 40.2308, Standard: 0.8964)
  143. PubMed_10:1029_expansion_noimpact (AskQE: 33.9256, Standard: 0.9316)
  144. PubMed_10:1029_spelling (AskQE: 34.7138, Standard: 0.9328)
  145. PubMed_10:1029_synonym (AskQE: 34.7138, Standard: 0.9328)
  146. PubMed_10:1030_alteration (AskQE: 39.6435, Standard: 0.9276)
  147. PubMed_10:1030_expansion_impact (AskQE: 58.5097, Standard: 0.8795)
  148. PubMed_10:1030_expansion_noimpact (AskQE: 59.2407, Standard: 0.9119)
  149. PubMed_10:1030_spelling (AskQE: 62.2221, Standard: 0.9210)
  150. PubMed_10:1030_synonym (AskQE: 59.0926, Standard: 0.8945)
  151. PubMed_10:1033_alteration (AskQE: 55.0213, Standard: 0.8856)
  152. PubMed_10:1033_expansion_impact (AskQE: 49.1546, Standard: 0.8862)
  153. PubMed_10:1033_expansion_noimpact (AskQE: 53.3708, Standard: 0.9237)
  154. PubMed_10:1033_spelling (AskQE: 56.3271, Standard: 0.9358)
  155. PubMed_10:1033_synonym (AskQE: 56.3271, Standard: 0.9340)
  156. PubMed_10:1042_alteration (AskQE: 44.6907, Standard: 0.8704)
  157. PubMed_10:1042_expansion_impact (AskQE: 47.8014, Standard: 0.9099)
  158. PubMed_10:1042_expansion_noimpact (AskQE: 60.6723, Standard: 0.9370)
  159. PubMed_10:1042_spelling (AskQE: 75.6040, Standard: 0.9456)
  160. PubMed_10:1042_synonym (AskQE: 39.1067, Standard: 0.9424)
  161. PubMed_10:1043_alteration (AskQE: 35.1330, Standard: 0.9153)
  162. PubMed_10:1043_expansion_impact (AskQE: 56.1260, Standard: 0.9165)
  163. PubMed_10:1043_expansion_noimpact (AskQE: 77.2081, Standard: 0.9638)
  164. PubMed_10:1043_spelling (AskQE: 84.5933, Standard: 0.9806)
  165. PubMed_10:1043_synonym (AskQE: 84.5933, Standard: 0.9806)
  166. PubMed_10:1046_alteration (AskQE: 20.8055, Standard: 0.8453)
  167. PubMed_10:1046_expansion_impact (AskQE: 21.9567, Standard: 0.9041)
  168. PubMed_10:1046_expansion_noimpact (AskQE: 27.5134, Standard: 0.9006)
  169. PubMed_10:1046_spelling (AskQE: 25.3841, Standard: 0.9350)
  170. PubMed_10:1046_synonym (AskQE: 26.2262, Standard: 0.9096)
  171. PubMed_10:1047_alteration (AskQE: 8.8475, Standard: 0.8897)
  172. PubMed_10:1047_expansion_impact (AskQE: 53.8777, Standard: 0.8579)
  173. PubMed_10:1047_expansion_noimpact (AskQE: 63.4409, Standard: 0.8815)
  174. PubMed_10:1047_spelling (AskQE: 43.3581, Standard: 0.5465)
  175. PubMed_10:1047_synonym (AskQE: 24.0694, Standard: 0.5668)
  176. PubMed_10:1049_alteration (AskQE: 57.3739, Standard: 0.9009)
  177. PubMed_10:1049_expansion_impact (AskQE: 68.1636, Standard: 0.9469)
  178. PubMed_10:1049_expansion_noimpact (AskQE: 83.3852, Standard: 0.9605)
  179. PubMed_10:1049_spelling (AskQE: 93.0748, Standard: 0.9887)
  180. PubMed_10:1049_synonym (AskQE: 65.9712, Standard: 0.9499)
  181. PubMed_10:1051_alteration (AskQE: 47.7859, Standard: 0.8946)
  182. PubMed_10:1051_expansion_impact (AskQE: 35.3818, Standard: 0.8638)
  183. PubMed_10:1051_expansion_noimpact (AskQE: 46.5756, Standard: 0.8847)
  184. PubMed_10:1051_spelling (AskQE: 47.9692, Standard: 0.9211)
  185. PubMed_10:1051_synonym (AskQE: 51.9494, Standard: 0.9487)
  186. PubMed_10:1052_alteration (AskQE: 50.1893, Standard: 0.8908)
  187. PubMed_10:1052_expansion_impact (AskQE: 74.7294, Standard: 0.9171)
  188. PubMed_10:1052_expansion_noimpact (AskQE: 46.6490, Standard: 0.9214)
  189. PubMed_10:1052_spelling (AskQE: 78.9305, Standard: 0.9515)
  190. PubMed_10:1052_synonym (AskQE: 76.8627, Standard: 0.9336)
  191. PubMed_10:1053_alteration (AskQE: 29.3603, Standard: 0.8609)
  192. PubMed_10:1053_expansion_impact (AskQE: 66.1808, Standard: 0.8962)
  193. PubMed_10:1053_expansion_noimpact (AskQE: 77.4621, Standard: 0.9178)
  194. PubMed_10:1053_spelling (AskQE: 75.9521, Standard: 0.9299)
  195. PubMed_10:1053_synonym (AskQE: 51.6013, Standard: 0.9072)
  196. PubMed_10:856_alteration (AskQE: 68.9715, Standard: 0.9081)
  197. PubMed_10:856_expansion_impact (AskQE: 91.9814, Standard: 0.9325)
  198. PubMed_10:856_expansion_noimpact (AskQE: 92.4968, Standard: 0.9467)
  199. PubMed_10:856_spelling (AskQE: 94.6376, Standard: 0.9512)
  200. PubMed_10:856_synonym (AskQE: 85.1745, Standard: 0.9495)
  201. PubMed_10:858_alteration (AskQE: 57.6273, Standard: 0.9170)
  202. PubMed_10:858_expansion_impact (AskQE: 65.0986, Standard: 0.9306)
  203. PubMed_10:858_expansion_noimpact (AskQE: 73.6108, Standard: 0.9624)
  204. PubMed_10:858_spelling (AskQE: 62.6428, Standard: 0.6426)
  205. PubMed_10:858_synonym (AskQE: 48.7556, Standard: 0.9612)
  206. PubMed_10:860_alteration (AskQE: 25.7839, Standard: 0.9213)
  207. PubMed_10:860_expansion_impact (AskQE: 67.7225, Standard: 0.9327)
  208. PubMed_10:860_expansion_noimpact (AskQE: 71.8050, Standard: 0.9497)
  209. PubMed_10:860_spelling (AskQE: 74.2938, Standard: 0.9502)
  210. PubMed_10:860_synonym (AskQE: 74.2938, Standard: 0.9502)
  211. PubMed_10:862_alteration (AskQE: 70.7553, Standard: 0.8957)
  212. PubMed_10:862_expansion_impact (AskQE: 51.2209, Standard: 0.9116)
  213. PubMed_10:862_expansion_noimpact (AskQE: 73.0201, Standard: 0.9192)
  214. PubMed_10:862_spelling (AskQE: 100.0000, Standard: 0.9272)
  215. PubMed_10:862_synonym (AskQE: 100.0000, Standard: 0.9272)
  216. PubMed_10:864_alteration (AskQE: 52.2591, Standard: 0.8302)
  217. PubMed_10:864_expansion_impact (AskQE: 10.0467, Standard: 0.8194)
  218. PubMed_10:864_expansion_noimpact (AskQE: 55.8745, Standard: 0.8876)
  219. PubMed_10:864_spelling (AskQE: 69.6731, Standard: 0.8857)
  220. PubMed_10:864_synonym (AskQE: 62.9462, Standard: 0.8675)
  221. PubMed_10:868_alteration (AskQE: 28.6532, Standard: 0.8757)
  222. PubMed_10:868_expansion_impact (AskQE: 22.5320, Standard: 0.9193)
  223. PubMed_10:868_expansion_noimpact (AskQE: 29.2182, Standard: 0.9013)
