Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: bleu (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3728
  P-value: 6.6055e-34
  Number of samples: 987

Common keys (987):
  169. PubMed_10:954_alteration (AskQE: 15.9736, Standard: 0.8252)
  170. PubMed_10:954_synonym (AskQE: 7.9868, Standard: 0.8755)
  171. PubMed_10:955_alteration (AskQE: 39.6152, Standard: 0.8937)
  172. PubMed_10:955_synonym (AskQE: 25.2949, Standard: 0.9127)
  173. PubMed_10:958_alteration (AskQE: 31.7039, Standard: 0.8328)
  174. PubMed_10:958_synonym (AskQE: 41.8359, Standard: 0.8773)
  175. PubMed_10:961_alteration (AskQE: 91.7044, Standard: 0.9128)
  176. PubMed_10:961_synonym (AskQE: 96.3034, Standard: 0.8859)
  177. PubMed_10:963_alteration (AskQE: 47.7336, Standard: 0.9262)
  178. PubMed_10:963_synonym (AskQE: 42.0956, Standard: 0.9484)
  179. PubMed_10:964_alteration (AskQE: 34.1196, Standard: 0.9355)
  180. PubMed_10:964_synonym (AskQE: 46.2118, Standard: 0.9297)
  181. PubMed_10:965_alteration (AskQE: 52.2895, Standard: 0.9028)
  182. PubMed_10:965_synonym (AskQE: 50.3013, Standard: 0.8870)
  183. PubMed_10:967_alteration (AskQE: 22.6483, Standard: 0.8553)
  184. PubMed_10:967_synonym (AskQE: 23.4409, Standard: 0.8776)
  185. PubMed_10:968_alteration (AskQE: 37.7243, Standard: 0.8532)
  186. PubMed_10:968_synonym (AskQE: 2.3980, Standard: 0.9267)
  187. PubMed_10:971_alteration (AskQE: 63.7580, Standard: 0.7981)
  188. PubMed_10:971_synonym (AskQE: 75.8387, Standard: 0.8220)
  189. PubMed_10:974_alteration (AskQE: 38.2550, Standard: 0.9434)
  190. PubMed_10:974_synonym (AskQE: 67.6045, Standard: 0.9248)
  191. PubMed_10:979_alteration (AskQE: 39.8276, Standard: 0.9224)
  192. PubMed_10:979_synonym (AskQE: 36.6817, Standard: 0.9318)
  193. PubMed_10:980_alteration (AskQE: 38.7242, Standard: 0.8485)
  194. PubMed_10:980_synonym (AskQE: 66.0369, Standard: 0.9791)
  195. PubMed_10:984_alteration (AskQE: 30.3399, Standard: 0.9088)
  196. PubMed_10:984_synonym (AskQE: 22.8033, Standard: 0.8980)
  197. PubMed_10:985_alteration (AskQE: 48.6197, Standard: 0.8688)
  198. PubMed_10:985_synonym (AskQE: 37.1576, Standard: 0.9237)
  199. PubMed_10:986_alteration (AskQE: 0.0000, Standard: 0.8924)
  200. PubMed_10:986_synonym (AskQE: 40.5079, Standard: 0.9718)
  201. PubMed_10:987_alteration (AskQE: 34.8379, Standard: 0.7499)
  202. PubMed_10:987_synonym (AskQE: 1.6656, Standard: 0.5260)
  203. PubMed_10:988_alteration (AskQE: 79.7490, Standard: 0.8579)
  204. PubMed_10:988_synonym (AskQE: 78.0466, Standard: 0.9484)
  205. PubMed_10:992_alteration (AskQE: 63.8301, Standard: 0.8976)
  206. PubMed_10:992_synonym (AskQE: 83.3263, Standard: 0.9641)
  207. PubMed_10:994_alteration (AskQE: 37.6326, Standard: 0.9070)
  208. PubMed_10:994_synonym (AskQE: 66.4885, Standard: 0.9481)
  209. PubMed_10:995_alteration (AskQE: 39.1334, Standard: 0.8863)
  210. PubMed_10:995_synonym (AskQE: 45.4684, Standard: 0.8857)
  211. PubMed_10:996_alteration (AskQE: 16.6453, Standard: 0.8697)
  212. PubMed_10:996_synonym (AskQE: 10.4100, Standard: 0.8880)
  213. PubMed_10:999_alteration (AskQE: 5.1480, Standard: 0.8517)
  214. PubMed_10:999_synonym (AskQE: 9.4382, Standard: 0.8748)
  215. PubMed_9:792_alteration (AskQE: 34.9018, Standard: 0.9466)
  216. PubMed_9:792_synonym (AskQE: 65.9736, Standard: 0.9548)
  217. PubMed_9:794_alteration (AskQE: 39.9402, Standard: 0.9764)
  218. PubMed_9:794_synonym (AskQE: 73.9212, Standard: 0.9666)
  219. PubMed_9:795_alteration (AskQE: 35.0200, Standard: 0.8992)
  220. PubMed_9:795_synonym (AskQE: 34.3746, Standard: 0.9453)
  221. PubMed_9:797_alteration (AskQE: 0.0000, Standard: 0.9304)
  222. PubMed_9:797_synonym (AskQE: 100.0000, Standard: 0.9183)
  223. PubMed_9:799_alteration (AskQE: 50.0000, Standard: 0.9046)
  224. PubMed_9:799_synonym (AskQE: 27.1696, Standard: 0.9612)
  225. PubMed_9:802_alteration (AskQE: 0.0000, Standard: 0.9137)
  226. PubMed_9:802_synonym (AskQE: 38.1419, Standard: 0.9408)
  227. PubMed_9:803_alteration (AskQE: 19.4664, Standard: 0.8275)
  228. PubMed_9:803_synonym (AskQE: 33.2183, Standard: 0.8980)
  229. PubMed_9:804_alteration (AskQE: 61.5143, Standard: 0.9512)
  230. PubMed_9:804_synonym (AskQE: 45.7893, Standard: 0.9531)
  231. PubMed_9:805_alteration (AskQE: 18.9092, Standard: 0.8338)
  232. PubMed_9:805_synonym (AskQE: 30.5146, Standard: 0.9377)
  233. PubMed_9:806_alteration (AskQE: 37.3696, Standard: 0.9576)
  234. PubMed_9:806_synonym (AskQE: 49.9558, Standard: 0.9663)
  235. PubMed_9:807_alteration (AskQE: 22.2119, Standard: 0.9385)
  236. PubMed_9:807_synonym (AskQE: 33.3544, Standard: 0.9696)
  237. PubMed_9:808_alteration (AskQE: 67.7337, Standard: 0.9507)
  238. PubMed_9:808_synonym (AskQE: 72.1569, Standard: 0.9799)
  239. PubMed_9:810_alteration (AskQE: 24.5285, Standard: 0.8950)
  240. PubMed_9:810_synonym (AskQE: 35.5076, Standard: 0.9320)
  241. PubMed_9:814_alteration (AskQE: 23.1947, Standard: 0.9072)
  242. PubMed_9:814_synonym (AskQE: 80.0000, Standard: 0.9529)
  243. PubMed_9:817_alteration (AskQE: 23.1727, Standard: 0.9109)
  244. PubMed_9:817_synonym (AskQE: 86.8921, Standard: 0.9699)
  245. PubMed_9:818_alteration (AskQE: 70.1828, Standard: 0.9471)
  246. PubMed_9:818_synonym (AskQE: 94.2390, Standard: 0.9525)
  247. PubMed_9:819_alteration (AskQE: 30.3411, Standard: 0.8550)
  248. PubMed_9:819_synonym (AskQE: 60.6822, Standard: 0.8473)
  249. PubMed_9:820_alteration (AskQE: 75.0000, Standard: 0.7042)
  250. PubMed_9:820_synonym (AskQE: 27.5161, Standard: 0.7963)
  251. PubMed_9:821_alteration (AskQE: 2.7342, Standard: 0.9393)
  252. PubMed_9:821_synonym (AskQE: 100.0000, Standard: 0.9669)
  253. PubMed_9:822_alteration (AskQE: 48.1832, Standard: 0.9414)
  254. PubMed_9:822_synonym (AskQE: 88.5436, Standard: 0.9488)
  255. PubMed_9:823_alteration (AskQE: 42.4725, Standard: 0.9336)
  256. PubMed_9:823_synonym (AskQE: 39.3042, Standard: 0.9671)
  257. PubMed_9:825_alteration (AskQE: 61.0307, Standard: 0.9631)
  258. PubMed_9:825_synonym (AskQE: 55.7662, Standard: 0.9848)
  259. PubMed_9:826_alteration (AskQE: 66.0653, Standard: 0.9287)
  260. PubMed_9:826_synonym (AskQE: 75.6487, Standard: 0.9548)
  261. PubMed_9:829_alteration (AskQE: 53.7418, Standard: 0.8797)
  262. PubMed_9:829_synonym (AskQE: 37.8697, Standard: 0.9572)
  263. PubMed_9:830_alteration (AskQE: 0.0000, Standard: 0.8076)
  264. PubMed_9:830_synonym (AskQE: 79.7302, Standard: 0.9496)
  265. PubMed_9:831_alteration (AskQE: 16.8313, Standard: 0.8322)
  266. PubMed_9:831_synonym (AskQE: 18.0779, Standard: 0.9124)
  267. PubMed_9:832_alteration (AskQE: 50.0000, Standard: 0.8072)
  268. PubMed_9:832_synonym (AskQE: 100.0000, Standard: 0.9828)
  269. PubMed_9:836_alteration (AskQE: 5.8154, Standard: 0.8670)
  270. PubMed_9:836_synonym (AskQE: 54.2055, Standard: 0.9597)
  271. PubMed_9:837_alteration (AskQE: 11.1726, Standard: 0.8773)
  272. PubMed_9:837_synonym (AskQE: 17.1938, Standard: 0.9191)
  273. PubMed_9:838_alteration (AskQE: 60.9720, Standard: 0.9086)
  274. PubMed_9:838_synonym (AskQE: 60.9720, Standard: 0.9372)
  275. PubMed_9:839_alteration (AskQE: 50.2327, Standard: 0.8960)
  276. PubMed_9:839_synonym (AskQE: 80.9096, Standard: 0.9624)
  277. PubMed_9:840_alteration (AskQE: 17.1912, Standard: 0.8778)
  278. PubMed_9:840_synonym (AskQE: 43.5996, Standard: 0.9319)
  279. PubMed_9:841_alteration (AskQE: 34.8921, Standard: 0.9157)
  280. PubMed_9:841_synonym (AskQE: 18.1703, Standard: 0.9427)
  281. PubMed_9:844_alteration (AskQE: 40.5351, Standard: 0.8840)
  282. PubMed_9:844_synonym (AskQE: 33.0634, Standard: 0.9050)
  283. PubMed_9:845_alteration (AskQE: 9.3724, Standard: 0.8618)
  284. PubMed_9:845_synonym (AskQE: 87.2738, Standard: 0.9374)
